temperature_C,pressure_bar,flow_m_s,pH,CO2_ppm,H2S_ppm,DO_mgL,water_cut,inhibitor_eff,CP_voltage,P_corrosion,Corrosion
70.14,30.49,0.273,4.376,404.72,6.464,1.197,0.222,0.229,-0.45,0.9667,1
41.59,31.69,1.486,5.384,23.28,0.416,0,0.392,0.255,-0.74,0.5671,1
47.2,25.04,1.072,6.581,17.78,7.266,0.27,0.078,0.088,-0.618,0.451,0
53.75,30.1,0.587,6.993,39.99,1.861,0,0.308,0.228,-0.721,0.4738,1
60.26,22.67,0.804,6.732,178.57,8.18,0.643,0.035,0.314,-1.019,0.3298,0
65.18,21.15,1.839,5.786,71.2,3.558,0.957,0.36,0.512,-0.879,0.3816,1
52.74,31.83,0.964,7.25,101.45,1.605,0,0.16,0.262,-0.7,0.5148,0
61.87,28.08,0.909,7.686,313.14,15.263,0,0.071,0.171,-0.731,0.7164,1
52.45,31.01,0.529,7.25,133.19,7.242,0,0.252,0.361,-0.831,0.2686,0
53.88,29.91,0.053,7.292,244.51,21.233,0.538,0.213,0.81,-0.883,0.5402,0
45.93,25.12,0.92,6.053,159.51,2.266,0.296,0.033,0.075,-0.681,0.5445,1
50.77,29.77,1.163,7.361,55.53,5.238,0.333,0.158,0.288,-0.601,0.483,1
46.48,23.83,1.55,6.617,23.07,4.728,0.279,0.275,0.54,-0.746,0.193,0
50.24,36.95,0.124,6.909,80.85,5.817,0,0.294,0.246,-0.48,0.8172,1
70.54,23.22,0.437,6.792,17.83,0.195,1.179,0.473,0.091,-0.562,0.7035,1
50.51,29.02,0.71,6.403,289.18,1.725,0.663,0.232,0.376,-0.89,0.3493,1
86.32,24.79,0.998,5.812,476.48,12.003,0,0.16,0.145,-0.643,0.9173,1
64.93,32.85,0.927,6.434,124.54,2.757,0.08,0.344,0.52,-0.231,0.4681,0
61.85,28.34,0.939,7.289,146.87,16.175,0,0.059,0.057,-0.96,0.6053,1
51.42,27.41,1.204,6.147,508.16,1.201,1.344,0.046,0.38,-0.678,0.5132,1
67,34.27,0.548,7.215,75.55,29.808,0.927,0.204,0.107,-1.138,0.5785,1
54.24,30.15,1.467,7.09,38.06,5.98,0.424,0.071,0.135,-0.652,0.4873,0
61.22,32.58,1.217,6.261,208.62,7.489,1.524,0.044,0.567,-0.616,0.3544,0
85.6,25.09,0.84,7.611,311.7,2.528,1.371,0.039,0.252,-0.812,0.7937,1
59.04,22.98,1.8,6.216,274.63,11.876,0.362,0.05,0.037,-0.857,0.6802,1
71.49,30.54,1.778,7.708,375.4,3.942,0.254,0.102,0.311,-0.8,0.514,1
52.97,28.41,1.466,6.847,17.53,5.712,0.283,0.258,0.288,-1.038,0.4655,1
59.65,33.13,0.509,6.487,167.69,0.498,0,0.113,0.434,-0.866,0.3092,0
77.71,29.6,1.789,5.79,81.77,4.994,1.54,0.121,0.138,-0.821,0.731,1
53.73,31.03,1.397,6.429,427.04,10.563,0,0.123,0.361,-0.64,0.4764,1
78.12,21.88,2.003,6.337,618.43,0.982,1.021,0.098,0.566,-1.256,0.7146,1
67.08,39.44,1.619,5.493,99.11,6.692,0.914,0.276,0.574,-0.764,0.4228,0
54.38,29.18,1.789,6.326,30.02,0.129,0.317,0.234,0.595,-0.969,0.2104,0
66.32,33.49,1.439,5.857,87.68,13.032,1.586,0.056,0.307,-0.791,0.4108,1
69.73,25.82,1.674,6.969,32.95,20.348,0,0.289,0.29,-0.396,0.7198,1
66.22,31.54,1.997,7.545,116.77,2.186,0.452,0.149,0.279,-0.902,0.5926,1
44.3,23.49,1.108,5.518,231.79,0.566,0.207,0.113,0.246,-1.07,0.71,1
52.73,32.26,0.214,7.87,1091.24,5.373,1.076,0.043,0.439,-1.121,0.9357,1
57.52,28.22,0.846,6.397,152.93,0.151,0.712,0.083,0.389,-0.773,0.291,0
59.26,30.15,1.195,5.72,74.55,3.294,0,0.174,0.12,-0.552,0.7873,0
66.21,33.49,1.037,7.106,54.75,1.586,1.244,0.598,0.204,-1.132,0.547,0
61.78,23.84,0.377,6.143,57,3.206,0.791,0.387,0.363,-0.657,0.251,0
46.65,26.58,0.184,6.435,64.18,0.092,0,0.075,0.226,-0.935,0.6665,0
63.8,32.29,0.629,6.177,430.98,0.265,0.29,0.234,0.142,-0.805,0.7806,1
66.11,40.49,1.404,5.847,18.89,0.081,0,0.126,0.086,-0.531,0.7822,1
65.6,29.31,1.79,7.079,1785.99,4.827,0.397,0.196,0.669,-0.862,0.9848,1
70.81,32.96,1.458,6.271,221.87,4.106,0.59,0.363,0.206,-0.704,0.6861,1
68.34,29.47,1.529,5.351,235.76,1.327,0.299,0.246,0.247,-0.923,0.7814,1
64.59,39.71,0.96,6.941,132.75,5.201,0.23,0.295,0.135,-0.857,0.6083,1
59.3,21.26,0.129,5.536,351.6,10.78,0,0.072,0.569,-0.815,0.7485,1
43.39,30.47,0.772,5.577,191.29,1.624,0.702,0.288,0.333,-0.849,0.3951,0
64.3,21.87,0.871,7.454,119.72,8.919,0,0.165,0.035,-1.217,0.5975,0
62.08,17.47,0.751,5.543,92.42,5.431,0.519,0.147,0.06,-0.779,0.6833,1
62.72,31.49,1.027,4.647,779.7,0.172,0,0.137,0.444,-0.682,0.8311,1
47.23,30.7,1.221,6.998,103.17,2.351,0.53,0.075,0.224,-0.772,0.5024,1
49.19,28.58,1.427,6.257,172.02,3.544,0.496,0.168,0.331,-0.624,0.2721,0
70.53,29.47,0.861,6.326,129.39,6.578,0.742,0.201,0.547,-0.739,0.3427,0
59.6,45.49,0.048,6.248,27.04,1.692,1.017,0.088,0.44,-1.078,0.3949,0
66.82,28.71,0.759,6.685,61.71,20.294,1.129,0.194,0.351,-0.882,0.2832,0
60.28,32.55,1.022,5.898,63.03,5.769,0,0.225,0.382,-0.995,0.3646,1
60.3,26.75,1.611,7.681,354.91,2.333,0.465,0.224,0.447,-1.322,0.4429,0
69.38,31.48,0.716,5.319,156.56,0.51,1.707,0.158,0.138,-0.594,0.8529,0
54.84,28.81,1.256,6.856,456.93,1.001,0.571,0.23,0.261,-0.224,0.8662,1
60.96,27.95,1.145,7.014,370.28,3.343,0.001,0.439,0.426,-0.935,0.4576,1
55.38,39.09,1.022,5.892,63.98,3.413,0.452,0.17,0.215,-0.76,0.6223,0
55.66,35.89,1.465,5.681,248.29,7.299,0.27,0.431,0.058,-0.983,0.7518,0
56.91,30.68,0.67,7.314,407.5,6.476,0,0.101,0.373,-0.756,0.4777,1
62.22,18.48,0.712,5.707,300.75,1.124,1.021,0.448,0.459,-0.555,0.6999,0
55.21,28.19,0.994,6.015,274.9,4.519,0.851,0.26,0.363,-0.699,0.361,0
72.56,43.52,0.68,7.21,403.67,0.104,0,0.144,0.323,-0.599,0.7031,0
51.05,28.85,1.254,6.528,17.54,2.542,0.444,0.1,0.18,-0.504,0.6163,1
58.13,35.52,0.643,5.062,394.38,7.222,0.16,0.235,0.577,-0.454,0.7495,1
55.6,37.21,1.113,7.898,95.51,2.55,0,0.046,0.241,-0.737,0.5246,1
74.47,31.09,0.95,6.076,254.5,9.027,0,0.125,0.109,-0.97,0.7316,1
61.97,25.79,1.107,6.178,83.24,18.681,0,0.101,0.27,-0.929,0.5595,0
70.32,17.82,0.77,6.705,547.57,4.672,0.465,0.078,0.219,-0.83,0.8518,1
45.14,33.42,0.83,7,196.5,0.783,0.225,0.434,0.291,-0.855,0.5719,1
62.67,25.93,1.048,8.069,308.96,2.388,0,0.165,0.076,-1.08,0.7069,1
68.9,30.88,1.101,5.172,474.08,0.048,0.265,0.383,0.355,-0.804,0.69,1
60.82,23.75,0.998,7.161,677.04,4.616,0.949,0.051,0.306,-0.774,0.6787,1
70.65,28.67,1.853,7.094,395.1,8.618,0.714,0.091,0.507,-0.98,0.537,1
54.83,30.17,0.505,6.39,48.32,4.97,1.101,0.209,0.229,-0.812,0.4854,1
74.09,31.34,0.968,7.13,578.34,7.711,0.363,0.277,0.325,-1.034,0.6828,0
82.99,24.43,0.213,7.247,289.15,8.045,1.462,0.102,0.397,-0.751,0.7063,0
56.37,35.98,1.186,5.394,282.06,9.519,0.709,0.054,0.224,-0.965,0.7727,1
55.54,27.02,0.442,7.9,762.79,1.551,0.207,0.531,0.486,-0.735,0.7108,0
74.53,21.63,0.861,5.253,85.84,10.25,0.556,0.028,0.231,-0.679,0.7307,1
75.8,29.45,0.814,5.592,82.17,5.308,0,0.307,0.242,-0.639,0.7335,0
54.77,30.17,1.14,6.291,215.97,1.711,0.316,0.043,0.107,-0.446,0.7583,1
55.8,30.8,0.724,8.04,416.93,21.829,0.758,0.322,0.059,-0.706,0.7534,1
57.18,36.81,0.702,6.253,177.85,14.997,0.867,0.294,0.398,-0.808,0.3159,0
46.56,28.82,1.718,6.474,301.45,4.272,0.254,0.186,0.084,-0.614,0.6466,1
50.81,29.4,1.142,7.646,180.73,9.264,2.14,0.18,0.157,-1.116,0.5765,0
49.96,24.48,0.719,6.26,282.78,1.516,0.397,0.476,0.069,-0.886,0.6338,0
52.32,34.1,0.875,5.557,518.23,2.69,0,0.321,0.435,-0.896,0.6459,1
59.65,30.92,1.823,6.166,59.71,1.017,1.228,0.135,0.391,-0.956,0.2446,0
62.34,27.9,0.882,7.597,356.61,3.671,0.864,0.408,0.31,-0.843,0.4543,1
75.51,20.48,0.655,6.557,464.54,3.426,0.639,0.112,0.465,-0.382,0.751,0
50.02,37.22,0.658,8.045,177.78,1.196,0.221,0.026,0.3,-0.845,0.5582,1
69.84,23.86,0.725,7.09,117.13,5.586,0.736,0.181,0.12,-0.698,0.622,1
57.86,27.04,0.703,5.984,4.09,0.627,1.471,0.048,0.294,-0.965,0.5913,1
59.51,31.79,0.36,6.541,478.52,0.318,0.621,0.295,0.338,-0.952,0.5314,0
66.75,24.02,0.438,5.817,119.22,2.43,0,0.396,0.426,-0.985,0.4238,1
48.77,22.53,0.585,5.965,132.63,2.637,0,0.112,0.264,-0.948,0.6452,0
63.82,19.38,1.296,9,122.84,1.926,0.731,0.087,0.089,-0.5,0.7398,0
61.66,33.6,0.809,7.315,207.19,1.492,0,0.171,0.303,-0.878,0.3441,0
64.92,27.27,0.896,7.189,363.7,2.068,0.44,0.145,0.605,-0.952,0.4724,1
62.89,44.64,1.635,6.001,443.34,0.892,0.015,0.294,0.623,-0.708,0.522,0
84.55,25.03,1.648,7.756,149.56,2.583,0,0.268,0.083,-0.779,0.6984,1
53.62,25.39,0.859,7.38,326.39,11.749,0.041,0.012,0.234,-0.46,0.8178,1
54.69,27.17,0.685,8.005,382.62,1.271,0.095,0.145,0.475,-0.728,0.4358,0
53.77,31.22,0.568,7.966,105.68,5.767,0.966,0.053,0.608,-0.517,0.4115,0
54.45,27.65,1.346,5.317,30.48,0.765,0.844,0.086,0.203,-1.033,0.594,0
53.63,33.06,0.898,5.612,675.18,2.184,0,0.406,0.142,-0.82,0.9087,1
71.89,25.11,0.807,5.697,339.14,1.937,0,0.342,0.46,-0.654,0.6119,1
74.21,23.09,0.593,5.745,313.33,13.825,0.727,0.124,0.196,-0.935,0.8421,0
54.29,21.01,0.615,6.759,18.21,2.793,1.132,0.265,0.062,-0.782,0.4602,0
51.68,18.88,1.16,6.047,510.92,5.863,1.122,0.189,0.038,-1.036,0.7886,1
64.71,27.41,0.342,8.158,250.45,4.612,0,0.188,0.408,-0.811,0.3883,0
54.48,28.5,1.497,8.024,564.93,0.76,1.094,0.098,0.337,-1.093,0.5706,0
66.33,26.84,0.733,6.495,1101.44,14.029,0,0.107,0.131,-0.955,0.9671,1
62.03,36.22,0.925,8.064,944.67,2.122,0.378,0.084,0.258,-1.055,0.9413,1
44.84,36.14,0.332,7.691,581.57,0.229,0.792,0.301,0.161,-0.845,0.8092,1
75.48,28.33,0.994,6.139,3.3,1.787,0,0.362,0.396,-0.695,0.2728,0
77.96,21.03,0.836,4.893,650.75,2.045,1.756,0.069,0.339,-1.075,0.8193,1
53.87,27.17,0.975,6.326,23.41,0.487,1.296,0.172,0.553,-0.705,0.2055,0
56.12,27,1.736,5.984,571.53,4.838,0.888,0.057,0.269,-0.922,0.8846,1
62.86,26.71,1.089,6.665,98.62,2.129,0,0.209,0.044,-1.226,0.5629,1
63.34,26.51,0.603,6.571,282.54,4.96,0.459,0.157,0.599,-0.649,0.4048,0
66.59,26.73,0.644,6.55,11.64,0.034,0.974,0.154,0.253,-0.724,0.5167,1
80.1,28.07,1.298,6.919,442.45,20.1,0,0.243,0.721,-0.877,0.6176,0
58.23,26.82,1.649,5.53,35.54,0.935,0.392,0.27,0.107,-0.628,0.6157,1
52.02,31.04,1.141,6.829,158.64,5.384,1.046,0.312,0.445,-0.382,0.4418,1
46.21,31.8,1.344,6.148,510.21,6.29,0,0.585,0.375,-0.778,0.5201,0
52.69,25.45,1.305,6.66,356.58,0.941,0.699,0.41,0.297,-0.565,0.8211,1
59.67,36.36,1.71,7.266,1.82,0.592,0,0.334,0.068,-1.127,0.4747,1
77.95,25.1,0.025,5.52,154.77,0.828,0,0.37,0.171,-0.72,0.8832,1
54.82,21.91,1.334,6.275,12.85,1.417,0.197,0.281,0.117,-0.707,0.4588,0
62.24,31.9,1.492,6.405,335.8,0.921,0.808,0.072,0.543,-0.71,0.4384,0
59.84,25.91,0.331,6.089,1041.63,5.604,0.08,0.387,0.203,-1.082,0.9557,1
71.88,31.61,0.557,7.22,319.49,2.731,0.575,0.199,0.117,-0.911,0.7495,1
85.27,17.98,0.575,5.924,76.22,3.859,0.088,0.123,0.381,-0.737,0.4835,0
54.69,36.96,0.636,6.056,131.66,0.242,0.182,0.185,0.174,-0.815,0.5471,1
55.11,33.36,0.759,5.932,1127.15,9.875,1.25,0.372,0.269,-0.87,0.9767,1
70.44,22.5,1.121,7.374,76.1,0.935,0,0.4,0.566,-0.669,0.2967,1
66.82,22.61,1.433,6.106,247.34,2.233,0.955,0.205,0.363,-0.938,0.3961,0
78.47,38.36,1.541,6.868,153.47,0.373,0.499,0.181,0.352,-0.88,0.3846,0
65.84,26.31,0.581,8.081,438.71,0.736,0.155,0.284,0.13,-0.686,0.7913,1
56.41,25.83,0.578,6.44,606.1,5.48,0,0.441,0.047,-0.573,0.9166,1
65.91,18.67,1.658,7.39,125.04,5.898,0,0.189,0.626,-0.741,0.3193,0
71.09,28.25,1.323,7.837,323.99,5.65,0.057,0.38,0.049,-0.478,0.8634,1
68.2,28.86,1.041,7.322,238.92,4.016,0.41,0.178,0.22,-0.485,0.8147,1
65.07,33.58,1.237,6.487,97.9,15.237,0.862,0.359,0.521,-0.445,0.4614,1
70.67,23,0.985,7.014,95.21,3.538,0.32,0.138,0.16,-1.002,0.5984,1
71.69,22.4,1.262,5.47,232.07,2.984,0.36,0.079,0.263,-0.819,0.7909,1
73.82,32.25,0.832,5.876,50.17,1.422,0.45,0.075,0.102,-0.773,0.6957,1
66.49,35.03,1.134,6.016,499.5,0.52,0.786,0.095,0.45,-1.001,0.5813,1
58.33,22.14,0.245,8.292,21.45,3.972,0.887,0.149,0.208,-0.84,0.675,0
61.47,35.41,0.656,5.85,29.81,1.891,0,0.168,0.169,-0.938,0.6269,1
72.07,30.19,0.661,5.838,125.67,3.712,0.331,0.113,0.036,-1.23,0.7346,0
51.83,35.46,0.813,5.665,37.7,1.154,1.236,0.36,0.162,-1.012,0.5865,1
63.69,29.65,0.537,6.948,193.71,9.106,0,0.125,0.356,-0.795,0.3555,0
56.07,17.39,0.733,6.614,153.09,40.512,0.545,0.305,0.155,-0.46,0.737,1
60.29,29.24,0.243,7.369,383.84,1.946,0.397,0.373,0.613,-1.062,0.6586,0
72.78,35.3,1.274,7.037,917.31,9.236,0.16,0.074,0.43,-0.553,0.9211,1
61.91,25.53,0.959,5.396,420.19,10.317,1.454,0.193,0.322,-0.8,0.6339,1
60.46,28.06,0.147,5.854,59.33,27.7,0.522,0.2,0.332,-0.827,0.559,0
46.4,29.12,0.583,7.592,822.43,2.098,1.407,0.332,0.384,-0.968,0.7246,1
67.46,15.5,1.168,6.337,149.34,7.054,0.503,0.226,0.192,-0.889,0.6335,0
66.45,38.36,0.728,7.45,192.84,1.299,0.776,0.174,0.324,-0.851,0.3561,0
81.63,25.49,0.652,6.38,164.23,4.901,0.154,0.134,0.239,-0.654,0.6954,1
56.92,32.53,0.963,5.726,98.78,6.101,0.16,0.014,0.183,-0.831,0.6648,0
62.19,29.57,1.172,6.257,676.27,6.757,0.746,0.349,0.176,-0.442,0.9383,1
62.49,36.29,0.282,5.726,121.15,1.161,0.757,0.135,0.217,-1.032,0.8339,1
75.77,32.03,1.275,6.048,259.25,9.443,0.859,0.153,0.075,-0.507,0.8511,1
59.05,28.83,0.6,6.661,82.34,2.732,0.726,0.493,0.246,-0.943,0.5319,1
62.79,25.53,0.991,6.909,478.92,1.219,0,0.278,0.047,-0.923,0.801,1
66.08,33.99,0.982,5.228,446.43,3.91,0.016,0.309,0.206,-0.717,0.8654,1
61.87,20.63,0.736,6.486,105.43,9.952,1.01,0.146,0.55,-1.034,0.2898,0
55.54,33.23,0.488,6.031,343.29,17.07,0,0.051,0.466,-0.485,0.5964,1
61.94,24.5,0.857,5.981,365.09,6.896,0.676,0.092,0.366,-0.823,0.5949,0
70.74,36.26,1.813,6.606,248.01,0.028,0.433,0.164,0.313,-0.776,0.4155,0
49.73,30.81,0.319,6.06,275.34,0.723,1.01,0.445,0.248,-0.794,0.6286,0
61.33,33.22,1.846,7.606,256.32,0.397,0.75,0.174,0.263,-0.609,0.6672,1
53,30.41,0.87,7.45,25.62,0.534,0.102,0.21,0.095,-0.963,0.4593,0
71.95,21.24,1.018,7.445,332.84,2.415,0.074,0.031,0.547,-1.041,0.4844,0
44.77,25.7,0.457,6.104,190.34,2.066,0.186,0.072,0.222,-0.762,0.5673,1
54.41,33.36,0.614,5.73,173.12,0.603,0.848,0.201,0.34,-0.826,0.4031,0
63.77,30.83,0.749,6.566,589.83,10.695,0,0.405,0.028,-0.881,0.8575,1
75.66,35.9,0.477,6.38,7.05,4.778,0.594,0.256,0.034,-0.611,0.5583,1
59.34,32.02,0.896,6.013,86.83,7.96,0,0.296,0.218,-0.871,0.5492,1
54.45,25.17,0.796,5.559,38.83,2.322,0.615,0.295,0.3,-1.079,0.3112,1
78.81,26.02,1.925,6.467,10.79,2.64,0.707,0.382,0.007,-0.203,0.7327,1
45.52,30.51,0.417,6.177,96.76,1.911,0,0.092,0.248,-0.949,0.4976,1
38.01,18.43,1.051,7.051,1339,2.885,0.364,0.021,0.397,-0.678,0.9253,1
64.4,38.37,1.124,7.032,94.51,4.713,0.593,0.305,0.145,-0.825,0.5675,0
54.98,32.21,0.465,7.381,326.93,3.396,0.553,0.269,0.339,-1.301,0.3966,1
49.79,36.14,1.343,5.493,37.77,9.098,0.427,0.287,0.21,-0.956,0.5898,0
67.08,22.1,0.801,6.821,276.28,11.52,0,0.277,0.402,-0.841,0.4306,0
62.44,36.22,0.246,5.918,1249.72,3.171,0,0.406,0.338,-1.309,0.9781,1
54.36,41.16,1.33,5.524,103.52,1.371,0,0.316,0.163,-1.02,0.6451,0
47.2,23.4,0.442,6.157,565.31,14.52,0.832,0.235,0.205,-0.925,0.8094,1
68.72,33.86,0.476,7.355,1806.13,6.641,0.431,0.13,0.275,-0.865,0.9961,1
66.5,30.01,1.344,6.202,266.42,5.11,0.469,0.056,0.337,-0.545,0.5937,1
59.01,22.28,0.826,7.752,111.06,6.841,0,0.131,0.366,-0.849,0.2816,0
78.47,32.46,1.459,6.939,335.83,0.395,0.48,0.088,0.058,-0.918,0.7819,1
49.3,34.17,1.605,6.185,559.01,0.35,0.88,0.331,0.225,-0.62,0.7985,1
44.74,26.99,0.678,7.428,56.39,0.831,0,0.06,0.526,-0.971,0.209,0
53.08,35.83,1.397,6.856,180.73,0.798,0.179,0.193,0.228,-0.441,0.7318,1
59.54,21.67,0.622,5.754,115.34,2.729,0,0.093,0.068,-0.949,0.6763,1
62.43,22.53,2.117,7.987,99.95,0.856,0.248,0.04,0.43,-0.879,0.2786,1
57.59,30.68,0.654,6.708,591.6,9.639,0,0.068,0.105,-0.848,0.8424,1
63.52,30.13,1.513,6.515,164.27,4.315,0.729,0.167,0.253,-0.678,0.6138,0
47.48,26.42,1.422,5.816,124.24,2.296,0.602,0.233,0.614,-0.626,0.3481,1
74.44,34.05,1.158,7.444,277.53,0.361,1.275,0.269,0.456,-0.737,0.4555,1
59.18,32.65,0.665,6.914,74.31,4.471,0.468,0.183,0.445,-0.907,0.251,0
71.17,34.29,0.924,7.003,78.37,0.62,0.703,0.049,0.293,-1.036,0.5887,0
63.43,29.38,0.077,6.094,220.37,6.798,0.165,0.052,0.145,-0.73,0.8145,1
64.57,33.01,1.112,7.167,157.92,8.117,0,0.055,0.342,-0.692,0.3352,0
65.7,27.77,1.175,7.229,104.86,3.926,1.001,0.393,0.155,-0.623,0.5814,1
64.48,40.27,1.067,5.965,16.64,0.81,1.246,0.274,0.205,-1.066,0.6317,1
66.43,25.94,0.487,5.366,220.68,7.729,0.923,0.211,0.255,-0.794,0.7757,1
73.29,40.53,0.367,6.965,508.84,1.84,0.579,0.089,0.065,-1.047,0.8445,1
61.97,30.17,0.626,5.241,571.9,1.259,0,0.295,0.652,-0.771,0.7221,1
67.09,23.12,1.146,6.622,80.54,3.18,1.185,0.187,0.16,-0.914,0.5704,0
59.1,36.84,1.145,6.142,274.62,12.797,0.848,0.071,0.57,-0.939,0.3908,1
74.4,30.63,0.915,7.475,581.14,1.765,1.715,0.045,0.226,-0.538,0.9329,1
53.24,34.26,1.318,6.186,157.64,11.8,0,0.285,0.403,-0.575,0.4471,0
78.01,36.12,0.487,7.386,807.08,0.276,1.018,0.233,0.229,-0.758,0.9359,0
59.6,31.69,1.305,6.089,699.85,0.436,0.829,0.139,0.166,-0.918,0.8799,0
45.69,27.04,1.237,7.3,70.01,5.996,0.295,0.15,0.494,-0.655,0.2244,0
61.28,34.88,1.189,8.148,89.91,1.057,1.318,0.165,0.31,-0.62,0.268,0
53.19,30,0.909,5.646,59.7,1.904,0.741,0.137,0.08,-0.804,0.6089,0
68.41,33.43,1.915,6.734,65.47,0.733,0,0.156,0.384,-0.638,0.2818,0
53.47,19.23,1.247,8.699,715.34,2.019,0.429,0.09,0.546,-0.797,0.6716,1
55.54,32.23,0.516,6.553,802.69,1.646,0,0.237,0.267,-0.907,0.9019,1
41.1,26.81,1.124,6.549,15.99,6.665,0.219,0.252,0.347,-0.74,0.1975,0
55.48,38.27,1.376,7.131,270.13,6.054,0.922,0.284,0.151,-1.023,0.6615,0
35.76,33.12,0.706,6.533,249.19,15.497,1.094,0.113,0.097,-0.992,0.6219,1
44.16,31.2,1.545,5.134,148.56,6.444,0.633,0.044,0.138,-1.123,0.6672,1
67.6,32.43,1.191,7.406,299.66,5.934,0.05,0.09,0.242,-0.494,0.8457,0
67.86,25.01,0.171,4.898,883.33,5.924,0.729,0.194,0.309,-0.906,0.9457,1
64.25,38.12,1.15,6.167,55.99,10.727,0.934,0.151,0.124,-0.537,0.7116,1
50.33,39.96,0.797,7.466,38.49,1.757,0,0.116,0.161,-1.188,0.4556,1
59.52,31.96,1.269,6.215,10.19,1.784,0.57,0.142,0.36,-0.302,0.3592,0
59.96,37.95,1.472,5.945,135.69,6.759,0.386,0.128,0.426,-0.844,0.4149,1
48.42,27.15,1.098,7.203,123.58,1.298,1.072,0.18,0.214,-0.742,0.5177,0
75.03,26.01,1.833,5.819,169.07,12.153,0.731,0.094,0.431,-1.043,0.5145,0
68.77,30.2,0.911,5.522,209.94,3.826,0.791,0.247,0.359,-0.833,0.5013,1
57.79,32.17,1.312,6.72,425.43,1.784,0.211,0.289,0.09,-0.931,0.7562,0
60.27,28.03,1.402,6.354,149.33,7.483,0.501,0.367,0.092,-0.984,0.5995,0
62.08,32.69,0.951,5.505,120.42,1.872,1.066,0.066,0.375,-0.862,0.402,0
39.58,31.53,1.389,7.01,526.13,16.522,0.461,0.292,0.452,-1.139,0.5321,1
57.53,25.01,0.703,6.872,568.73,20.37,0.605,0.294,0.369,-0.412,0.7515,1
53.18,32.59,0.789,6.212,79.49,5.495,0,0.293,0.468,-0.854,0.2409,0
49.98,34.32,0.344,6.267,113.36,0.603,0.459,0.25,0.482,-0.563,0.387,0
57.19,30.86,1.121,6.876,523.09,1.527,0,0.146,0.054,-0.219,0.8922,1
77.98,35.76,1.163,7.452,24.82,3.622,0.19,0.221,0.588,-0.94,0.2961,1
66.41,23.91,1.59,6.274,118.29,9.534,0.538,0.321,0.563,-0.729,0.3171,0
54.29,32.34,1.396,7.024,178.45,1.022,0.96,0.074,0.236,-0.705,0.5796,0
65.73,24.15,0.858,6.952,62.13,0.551,0,0.263,0.378,-1.051,0.2691,0
73.99,24.43,0.411,7.203,59.5,0.387,0.724,0.033,0.113,-0.63,0.5886,1
69.25,26.85,1.216,6.531,165.94,3.536,1.381,0.24,0.591,-0.528,0.5207,1
60.6,25.29,1.555,5.77,421.36,10.801,0.116,0.158,0.269,-0.885,0.8489,1
53.53,27.26,1.378,6.13,550.21,0.216,0,0.377,0.075,-0.711,0.8055,1
66.98,28.93,1.542,6.774,1162.35,1.193,0.674,0.299,0.214,-0.775,0.9714,1
63.93,34.19,0.894,7.955,23.06,5.909,0,0.344,0.215,-0.84,0.5244,1
68.95,28.39,0.767,6.113,73.27,8.74,0.009,0.309,0.13,-0.594,0.7406,1
66.35,22.07,0.632,7.144,423.95,8.236,1.054,0.337,0.452,-0.938,0.5372,0
70.5,35.7,0.972,6.238,233.35,7.687,1.626,0.125,0.341,-0.875,0.4158,1
54.65,25.81,0.961,6.588,119.11,0.695,0,0.428,0.235,-1.081,0.5375,1
73.17,29.71,1.103,7.712,69.05,2.531,0.058,0.305,0.226,-0.895,0.5916,0
61.98,32.23,0.935,7.111,98.75,20.914,0.236,0.526,0.586,-0.607,0.2861,1
80.75,31,0.933,5.507,168.26,22.498,0.171,0.218,0.065,-0.823,0.7974,1
53.11,35.47,0.612,6.042,58.49,4.612,1.66,0.207,0.168,-0.923,0.4844,1
77.36,32.4,1.471,7.505,999.16,6.177,0.182,0.287,0.308,-1.175,0.8904,0
61.98,25.69,1.038,6.614,34.15,15.109,0.267,0.158,0.228,-1.107,0.523,1
53.49,40.89,0.913,5.581,1271.69,2.989,1.47,0.253,0.26,-1.072,0.9835,1
55.16,30.97,0.626,5.845,553.35,0.736,0.846,0.128,0.667,-0.79,0.6821,1
56.8,29.26,0.334,7.063,165.05,5.527,1.092,0.19,0.407,-0.44,0.4703,0
64.24,34.82,1.654,7.296,403.91,16.107,0,0.236,0.154,-0.676,0.7767,1
65.23,31.25,1.277,6.514,333.98,5.974,0.182,0.238,0.446,-0.826,0.4642,0
54.26,32,0.188,8.48,71.97,8.131,0,0.288,0.302,-0.644,0.4137,0
59.76,42.46,1.382,7.159,124.23,2.747,0.981,0.277,0.088,-0.905,0.5666,1
81.42,28.62,1.461,6.305,215.92,0.507,1.235,0.428,0.425,-1.364,0.4443,0
77.28,28.41,1.062,5.847,304.7,0.925,0.14,0.086,0.343,-0.655,0.6129,1
64.36,30.58,1.799,5.72,234.85,20.272,0.281,0.155,0.035,-0.619,0.7759,1
60.38,35.36,1.108,6.768,192.16,3.398,0.308,0.698,0.294,-1.032,0.6187,1
61.2,22.47,0.292,6.109,175.64,0.06,0,0.107,0.304,-0.78,0.5127,0
66.14,20.17,1.183,7.839,206.9,15.546,0.096,0.272,0.151,-0.588,0.8011,1
49.77,27.06,1.122,7.673,170.93,3.444,0.964,0.289,0.446,-1.077,0.2715,0
57.43,21.83,0.698,7.006,233.83,9.048,0,0.035,0.088,-0.556,0.7858,1
43.31,27.88,1.287,5.557,656.74,3.975,0.556,0.345,0.261,-0.624,0.8975,1
